,country,variable,1998-2002,2003-2007,2008-2012,2013-2017
1364,Netherlands,Rural population (1000 inhab),3364.924,2552.168,1915.976,1520.119
1365,Netherlands,Urban population (1000 inhab),12745.431,13954.888,14873.119,15515.819
1366,Netherlands,Population density (inhab/km2),387.9209005538,397.3677178623,404.2330284064,455.2379513239
1367,Netherlands,GDP per capita (current US$/inhab),29275.296448,51337.92634,49971.204939,48947.679998
1368,Netherlands,Human Development Index (HDI) [highest = 1] (-),0.879,0.904,0.921,0.932
1369,Netherlands,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.0744,0.0614,0.0546666667,0.0624
1370,Netherlands,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),593.8633878645,663.3021650964,638.595889432,944.4904683513
1371,Netherlands,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1372,Netherlands,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1373,Netherlands,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1375,New Zealand,Rural population (1000 inhab),548.484,578.237,618.306,636.894
1376,New Zealand,Urban population (1000 inhab),3414.722,3654.914,3849.437,4068.924
1377,New Zealand,Population density (inhab/km2),14.8041014531,15.8120578238,16.6914086138,17.5639087072
1378,New Zealand,GDP per capita (current US$/inhab),15775.204078,32438.85871,39436.665572,43651.468216
1379,New Zealand,Human Development Index (HDI) [highest = 1] (-),0.882,0.894,0.905,0.92
1380,New Zealand,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1918,0.195,0.1893333333,0.1572
1381,New Zealand,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),817.7025896519,1176.7530993048,1163.9364550224,1106.1170548746
1382,New Zealand,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1383,New Zealand,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1384,New Zealand,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1386,Nicaragua,Rural population (1000 inhab),2302.257,2411.595,2508.971,2592.801
1387,Nicaragua,Urban population (1000 inhab),2869.477,3110.511,3368.137,3624.78
1388,Nicaragua,Population density (inhab/km2),40.0347319169,42.8783845977,45.888824116,48.9748101557
1389,Nicaragua,GDP per capita (current US$/inhab),1006.686197,1344.301422,1792.04082,2226.522932
1390,Nicaragua,Human Development Index (HDI) [highest = 1] (-),0.581,0.602,0.625,0.653
1391,Nicaragua,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5188,0.4736666667,0.4485
1392,Nicaragua,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),279.1793448177,274.0760153523,258.1852548572,241.916563062
1393,Nicaragua,Total population with access to safe drinking-water (JMP) (%),80.1,83.1,86.2,87.0
1394,Nicaragua,Rural population with access to safe drinking-water (JMP) (%),61.6,65.1,68.7,69.4
1395,Nicaragua,Urban population with access to safe drinking-water (JMP) (%),95.1,97.0,98.9,99.3
1397,Niger,Rural population (1000 inhab),10221.895,12287.148,14856.997,17965.903
1398,Niger,Urban population (1000 inhab),1984.107,2381.19,2874.637,3511.445
1399,Niger,Population density (inhab/km2),9.6211389108,11.5906858721,14.0451539069,17.0500252565
1400,Niger,GDP per capita (current US$/inhab),234.133939,389.140907,521.714768,520.085384
1401,Niger,Human Development Index (HDI) [highest = 1] (-),0.263,0.295,0.338,0.373
1402,Niger,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.7824,0.71525,0.680875,0.7132
1403,Niger,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),74.9894401001,72.1818350063,70.3035629625,81.0512470338
1404,Niger,Total population with access to safe drinking-water (JMP) (%),45.7,50.8,56.2,58.2
1405,Niger,Rural population with access to safe drinking-water (JMP) (%),38.7,42.8,47.0,48.6
1406,Niger,Urban population with access to safe drinking-water (JMP) (%),81.3,89.7,98.2,100.0
1441,Norway,Rural population (1000 inhab),1057.72,1027.294,1008.706,961.814
1442,Norway,Urban population (1000 inhab),3488.299,3692.354,4003.301,4343.569
1443,Norway,Population density (inhab/km2),11.802323589,12.2524585908,13.0165351264,13.749262736
1444,Norway,GDP per capita (current US$/inhab),43010.094074,84951.119269,101657.143964,75092.402428
1445,Norway,Human Development Index (HDI) [highest = 1] (-),0.918,0.938,0.942,0.953
1446,Norway,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.0976,0.081,0.0703333333,0.0674
1447,Norway,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),561.8416590742,641.2041186574,544.8860314789,508.1258215601
1448,Norway,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1449,Norway,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1450,Norway,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1463,Pakistan,Rural population (1000 inhab),96368.659,105200.045,114917.348,125220.255
1464,Pakistan,Urban population (1000 inhab),48285.484,55132.929,62994.185,71795.7
1465,Pakistan,Population density (inhab/km2),187.8529079261,210.7877213918,235.2469903278,261.1558962442
1466,Pakistan,GDP per capita (current US$/inhab),555.48465,948.800465,1206.451626,1538.413187
1467,Pakistan,Human Development Index (HDI) [highest = 1] (-),0.464,0.511,0.533,0.558
1468,Pakistan,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5922,0.5623333333,0.5359
1469,Pakistan,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1170.9251172018,1084.2518601828,979.5486631686,882.3690301621
1470,Pakistan,Total population with access to safe drinking-water (JMP) (%),88.9,89.9,90.9,91.4
1471,Pakistan,Rural population with access to safe drinking-water (JMP) (%),85.7,87.3,88.9,89.9
1472,Pakistan,Urban population with access to safe drinking-water (JMP) (%),95.2,94.7,94.2,93.9
1507,Papua New Guinea,Rural population (1000 inhab),5090.608,5761.463,6466.137,7170.073
1508,Papua New Guinea,Urban population (1000 inhab),771.708,866.459,964.699,1081.089
1509,Papua New Guinea,Population density (inhab/km2),13.176521044,14.710297295,16.4873411978,18.2309999136
1510,Papua New Guinea,GDP per capita (current US$/inhab),781.255839,1440.108045,2865.806766,2667.000159
1511,Papua New Guinea,Human Development Index (HDI) [highest = 1] (-),0.446,0.486,0.508,0.543
1512,Papua New Guinea,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6728,0.6812,0.636,0.6113
1513,Papua New Guinea,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),52.4184073744,57.5896590651,51.3825119404,46.4681591783
1514,Papua New Guinea,Total population with access to safe drinking-water (JMP) (%),35.9,37.9,39.9,40.0
1515,Papua New Guinea,Rural population with access to safe drinking-water (JMP) (%),28.1,30.4,32.8,32.8
1516,Papua New Guinea,Urban population with access to safe drinking-water (JMP) (%),87.6,87.8,88.0,88.0
1518,Paraguay,Rural population (1000 inhab),2390.764,2488.72,2557.635,2635.972
1519,Paraguay,Urban population (1000 inhab),3117.847,3477.439,3821.584,4175.325
1520,Paraguay,Population density (inhab/km2),13.600398279,14.7472083589,15.7873706208,16.8826729801
1521,Paraguay,GDP per capita (current US$/inhab),1486.280687,2992.94229,5217.445724,5727.088492
1522,Paraguay,Human Development Index (HDI) [highest = 1] (-),0.658,0.671,0.697,0.722
1523,Paraguay,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5318,0.5028,0.4646666667,0.4718
1524,Paraguay,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),148.9470999565,276.5548266894,375.7681406236,351.3875877905
1525,Paraguay,Total population with access to safe drinking-water (JMP) (%),77.1,85.4,93.4,98.0
1526,Paraguay,Rural population with access to safe drinking-water (JMP) (%),57.4,71.8,86.3,94.9
1527,Paraguay,Urban population with access to safe drinking-water (JMP) (%),92.3,95.3,98.4,100.0
1540,Philippines,Rural population (1000 inhab),43958.821,48629.037,52586.504,55939.801
1541,Philippines,Urban population (1000 inhab),37393.239,40664.453,44280.138,48978.289
1542,Philippines,Population density (inhab/km2),271.2175266667,298.0182733333,324.0421433333,350.5764166667
1543,Philippines,GDP per capita (current US$/inhab),1000.068814,1672.685731,2581.81887,2989.185417
1544,Philippines,Human Development Index (HDI) [highest = 1] (-),0.639,0.663,0.684,0.709
1545,Philippines,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4694,0.4468,0.414,0.4196
1546,Philippines,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),,911.5324718008,866.6362460694,881.8714512314
1547,Philippines,Total population with access to safe drinking-water (JMP) (%),87.7,89.2,90.8,91.8
1548,Philippines,Rural population with access to safe drinking-water (JMP) (%),83.5,86.1,88.7,90.3
1549,Philippines,Urban population with access to safe drinking-water (JMP) (%),92.2,92.8,93.4,93.7
1551,Poland,Rural population (1000 inhab),14706.001,14860.895,15076.293,15228.329
1552,Poland,Urban population (1000 inhab),23778.471,23468.69,23241.111,22942.383
1553,Poland,Population density (inhab/km2),123.0888323899,122.6600294231,122.2561212741,121.3724976015
1554,Poland,GDP per capita (current US$/inhab),5162.582435,11193.854549,13058.150151,13790.05371
1555,Poland,Human Development Index (HDI) [highest = 1] (-),0.799,0.819,0.836,0.868
1556,Poland,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1888,0.1616,0.1473333333,0.1378
1557,Poland,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),304.7651947859,313.6623988243,300.3109526334,265.6167414694
1558,Poland,Total population with access to safe drinking-water (JMP) (%),96.3,97.1,98.0,98.3
1559,Poland,Rural population with access to safe drinking-water (JMP) (%),91.8,93.9,96.0,96.9
1560,Poland,Urban population with access to safe drinking-water (JMP) (%),99.1,99.2,99.3,99.3
1562,Portugal,Rural population (1000 inhab),4630.074,4385.066,4046.172,3651.305
1563,Portugal,Urban population (1000 inhab),5813.594,6245.054,6535.649,6678.201
1564,Portugal,Population density (inhab/km2),112.7441055145,114.8131501792,114.155818241,111.5582549748
1565,Portugal,GDP per capita (current US$/inhab),12846.271459,22594.145282,20434.725627,21429.667084
1566,Portugal,Human Development Index (HDI) [highest = 1] (-),0.792,0.81,0.829,0.848
1567,Portugal,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1814,0.1572,0.1233333333,0.111
1568,Portugal,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1083.9880421847,865.4947729355,1061.5782855679,1086.4626199649
1569,Portugal,Total population with access to safe drinking-water (JMP) (%),98.3,99.1,99.9,100.0
1570,Portugal,Rural population with access to safe drinking-water (JMP) (%),97.5,98.7,100.0,100.0
1571,Portugal,Urban population with access to safe drinking-water (JMP) (%),98.9,99.4,99.9,100.0
1584,Qatar,Rural population (1000 inhab),21.361,24.776,27.484,24.338
1585,Qatar,Urban population (1000 inhab),624.298,1164.857,2082.084,2614.873
1586,Qatar,Population density (inhab/km2),55.1996554694,104.9469422911,189.1535745047,237.1390774587
1587,Qatar,GDP per capita (current US$/inhab),29990.654918,67005.514297,88564.816286,63249.46732
1588,Qatar,Human Development Index (HDI) [highest = 1] (-),0.822,0.838,0.85,0.848
1589,Qatar,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,,0.5316666667,0.5241
1590,Qatar,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),552.2822172429,422.6942124071,340.3290783139,334.9325143647
1591,Qatar,Total population with access to safe drinking-water (JMP) (%),99.4,99.9,100.0,100.0
1592,Qatar,Rural population with access to safe drinking-water (JMP) (%),99.4,99.9,100.0,100.0
1593,Qatar,Urban population with access to safe drinking-water (JMP) (%),99.4,99.9,100.0,100.0
1595,Republic of Korea,Rural population (1000 inhab),9457.554,9012.35,9065.944,9429.948
1596,Republic of Korea,Urban population (1000 inhab),38547.232,40050.079,40886.3,41552.264
1597,Republic of Korea,Population density (inhab/km2),481.9715533688,491.7249298034,499.8566050924,509.3850563254
1598,Republic of Korea,GDP per capita (current US$/inhab),13066.341281,23900.450076,25592.996478,31852.31481
1599,Republic of Korea,Human Development Index (HDI) [highest = 1] (-),0.832,0.869,0.89,0.904
1600,Republic of Korea,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.1104,0.1013333333,0.1247
1601,Republic of Korea,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),607.5682339252,559.1447291334,551.8596045976,530.0176147387
1602,Republic of Korea,Total population with access to safe drinking-water (JMP) (%),94.5,97.1,97.6,97.6
1603,Republic of Korea,Rural population with access to safe drinking-water (JMP) (%),78.5,86.4,87.9,87.9
1604,Republic of Korea,Urban population with access to safe drinking-water (JMP) (%),98.5,99.5,99.7,99.7
1606,Republic of Moldova,Rural population (1000 inhab),2347.732,2365.195,2340.031,2327.145
1607,Republic of Moldova,Urban population (1000 inhab),1828.884,1763.454,1733.672,1724.067
1608,Republic of Moldova,Population density (inhab/km2),123.4701536643,122.0128803545,120.4079172821,119.9315805022
1609,Republic of Moldova,GDP per capita (current US$/inhab),477.622483,1279.389356,2137.892416,2386.876265
1610,Republic of Moldova,Human Development Index (HDI) [highest = 1] (-),0.628,0.672,0.693,0.709
1611,Republic of Moldova,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3146,0.308,0.2482
1612,Republic of Moldova,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),307.1270065859,245.1762148053,217.3529491303,206.912656256
1613,Republic of Moldova,Total population with access to safe drinking-water (JMP) (%),85.5,86.7,87.9,88.4
1614,Republic of Moldova,Rural population with access to safe drinking-water (JMP) (%),76.1,78.3,80.5,81.4
1615,Republic of Moldova,Urban population with access to safe drinking-water (JMP) (%),96.7,96.8,96.9,96.9
1617,Romania,Rural population (1000 inhab),10319.721,9795.242,9283.979,9065.003
1618,Romania,Urban population (1000 inhab),11534.955,11240.869,10887.276,10614.303
1619,Romania,Population density (inhab/km2),91.6702588196,88.2343596627,84.8503250975,82.4411451342
1620,Romania,GDP per capita (current US$/inhab),2112.772429,8299.48002,8487.140188,10757.282696
1621,Romania,Human Development Index (HDI) [highest = 1] (-),0.724,0.78,0.796,0.813
1622,Romania,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3304,0.3236666667,0.333
1623,Romania,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),421.9962840349,327.2767017545,320.4553174695,344.6123274134
1624,Romania,Total population with access to safe drinking-water (JMP) (%),87.6,93.5,99.0,100.0
1625,Romania,Rural population with access to safe drinking-water (JMP) (%),76.9,87.4,97.9,100.0
1626,Romania,Urban population with access to safe drinking-water (JMP) (%),97.2,98.7,100.0,100.0
1628,Russian Federation,Rural population (1000 inhab),38707.217,37859.367,37589.599,37017.128
1629,Russian Federation,Urban population (1000 inhab),106487.665,105290.775,105830.998,106972.626
1630,Russian Federation,Population density (inhab/km2),8.4930203343,8.379003453,8.4215572939,8.511402161
1631,Russian Federation,GDP per capita (current US$/inhab),2396.423038,9168.185708,15410.999366,10983.02208
1632,Russian Federation,Human Development Index (HDI) [highest = 1] (-),0.733,0.767,0.797,0.822
1633,Russian Federation,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.3954,0.3414,0.3183333333,0.2758
1634,Russian Federation,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),452.8895062081,443.9288169356,426.638466952,442.5889074947
1635,Russian Federation,Total population with access to safe drinking-water (JMP) (%),95.2,95.9,96.6,96.9
1636,Russian Federation,Rural population with access to safe drinking-water (JMP) (%),86.4,88.4,90.4,91.2
1637,Russian Federation,Urban population with access to safe drinking-water (JMP) (%),98.3,98.6,98.8,98.9
1639,Rwanda,Rural population (1000 inhab),7104.058,7848.805,8960.938,10117.663
1640,Rwanda,Urban population (1000 inhab),1432.147,1598.597,1827.915,2090.744
1641,Rwanda,Population density (inhab/km2),319.9339407745,352.0788534548,400.5190964313,454.8580485953
1642,Rwanda,GDP per capita (current US$/inhab),196.411115,404.853304,679.890277,748.350053
1643,Rwanda,Human Development Index (HDI) [highest = 1] (-),0.361,0.446,0.504,0.529
1644,Rwanda,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5152,0.4544,0.416,0.4005
1645,Rwanda,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),19.408904173,19.8301508224,17.4318199247,15.3493530277
1646,Rwanda,Total population with access to safe drinking-water (JMP) (%),67.7,71.1,74.3,76.1
1647,Rwanda,Rural population with access to safe drinking-water (JMP) (%),64.1,67.1,70.1,71.9
1648,Rwanda,Urban population with access to safe drinking-water (JMP) (%),85.7,86.0,86.4,86.6
1716,Saudi Arabia,Rural population (1000 inhab),4314.583,4690.056,5084.189,5394.59
1717,Saudi Arabia,Urban population (1000 inhab),17591.725,20562.513,24002.168,27543.623
1718,Saudi Arabia,Population density (inhab/km2),10.1434685931,11.7154552517,13.5623741098,15.398117403
1719,Saudi Arabia,GDP per capita (current US$/inhab),8655.313226,16472.168948,25303.094621,20905.391689
1720,Saudi Arabia,Human Development Index (HDI) [highest = 1] (-),0.749,0.784,0.837,0.856
1721,Saudi Arabia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6734,0.4326666667,0.2843
1722,Saudi Arabia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),995.7366812391,921.3965186737,716.1746395975,705.4129401252
1723,Saudi Arabia,Total population with access to safe drinking-water (JMP) (%),95.7,97.0,97.0,97.0
1724,Saudi Arabia,Rural population with access to safe drinking-water (JMP) (%),95.7,97.0,97.0,97.0
1725,Saudi Arabia,Urban population with access to safe drinking-water (JMP) (%),95.7,97.0,97.0,97.0
1727,Senegal,Rural population (1000 inhab),6175.004,6823.185,7591.27,8442.004
1728,Senegal,Urban population (1000 inhab),4221.857,5050.372,6112.243,7408.563
1729,Senegal,Population density (inhab/km2),52.278475929,59.4127395659,68.1307101825,78.3862284581
1730,Senegal,GDP per capita (current US$/inhab),663.807708,1229.725537,1342.390237,1321.086287
1731,Senegal,Human Development Index (HDI) [highest = 1] (-),0.41,0.448,0.489,0.51
1732,Senegal,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6094,0.5768,0.5426666667,0.5282
1733,Senegal,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),215.9728712402,190.0389147674,165.7216330229,144.0397474473
1734,Senegal,Total population with access to safe drinking-water (JMP) (%),68.9,72.6,76.3,78.5
1735,Senegal,Rural population with access to safe drinking-water (JMP) (%),53.8,59.0,64.2,67.3
1736,Senegal,Urban population with access to safe drinking-water (JMP) (%),90.9,91.7,92.5,92.9
1760,Sierra Leone,Rural population (1000 inhab),3167.216,3748.249,4083.903,4410.71
1761,Sierra Leone,Urban population (1000 inhab),1790.0,2267.168,2682.2,3146.502
1762,Sierra Leone,Population density (inhab/km2),68.6827939142,82.8441632089,92.8434854772,103.5743153527
1763,Sierra Leone,GDP per capita (current US$/inhab),252.827454,358.827468,561.898418,494.765953
1764,Sierra Leone,Human Development Index (HDI) [highest = 1] (-),0.319,0.368,0.413,0.435
1765,Sierra Leone,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6544,0.645,0.6501
1766,Sierra Leone,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),39.9173058094,35.4278801389,31.6122673474,28.3370744414
1767,Sierra Leone,Total population with access to safe drinking-water (JMP) (%),49.2,54.3,59.5,62.6
1768,Sierra Leone,Rural population with access to safe drinking-water (JMP) (%),33.5,39.0,44.5,47.8
1769,Sierra Leone,Urban population with access to safe drinking-water (JMP) (%),77.0,80.0,83.1,84.9
1782,Slovakia,Rural population (1000 inhab),2375.345,2415.132,2476.704,2519.468
1783,Slovakia,Urban population (1000 inhab),3024.809,2983.194,2940.366,2928.194
1784,Slovakia,Population density (inhab/km2),110.1391393025,110.1099734856,110.4178017945,111.113603916
1785,Slovakia,GDP per capita (current US$/inhab),4594.443541,14274.149052,17429.455862,17526.283687
1786,Slovakia,Human Development Index (HDI) [highest = 1] (-),0.772,0.814,0.841,0.854
1787,Slovakia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.2274,0.195,0.1743333333,0.1636
1788,Slovakia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),202.6620880047,127.4382757898,122.864937767,102.1127406891
1789,Slovakia,Total population with access to safe drinking-water (JMP) (%),99.9,99.9,100.0,100.0
1790,Slovakia,Rural population with access to safe drinking-water (JMP) (%),99.7,99.9,100.0,100.0
1791,Slovakia,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1793,Slovenia,Rural population (1000 inhab),977.096,966.833,966.153,951.104
1794,Slovenia,Urban population (1000 inhab),1011.168,1046.706,1094.237,1128.872
1795,Slovenia,Population density (inhab/km2),98.0398125308,99.2658115442,101.5206216083,102.4549994079
1796,Slovenia,GDP per capita (current US$/inhab),11813.822898,23840.565884,22607.59248,23347.227276
1797,Slovenia,Human Development Index (HDI) [highest = 1] (-),0.843,0.873,0.876,0.899
1798,Slovenia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.137,0.0576666667,0.0164
1799,Slovenia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),452.4807184943,464.6347778808,451.0106068403,448.5661199175
1800,Slovenia,Total population with access to safe drinking-water (JMP) (%),99.6,99.6,99.5,99.5
1801,Slovenia,Rural population with access to safe drinking-water (JMP) (%),99.4,99.4,99.4,99.4
1802,Slovenia,Urban population with access to safe drinking-water (JMP) (%),99.8,99.7,99.7,99.7
1826,South Africa,Rural population (1000 inhab),19799.101,19647.368,19465.377,19369.002
1827,South Africa,Urban population (1000 inhab),27227.072,30239.813,33532.836,37348.154
1828,South Africa,Population density (inhab/km2),37.8568547031,40.2921515229,43.3377831005,46.7641896825
1829,South Africa,GDP per capita (current US$/inhab),2455.693281,6001.879534,7478.165487,6153.459018
1830,South Africa,Human Development Index (HDI) [highest = 1] (-),0.618,0.631,0.673,0.704
1831,South Africa,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5106,0.4922,0.464,0.4071
1832,South Africa,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),286.2048554622,290.1104186231,289.4363616476,339.9418162744
1833,South Africa,Total population with access to safe drinking-water (JMP) (%),87.4,89.8,92.0,93.2
1834,South Africa,Rural population with access to safe drinking-water (JMP) (%),72.0,75.6,79.2,81.4
1835,South Africa,Urban population with access to safe drinking-water (JMP) (%),98.7,99.0,99.4,99.6
1848,Spain,Rural population (1000 inhab),9852.597,10104.737,9886.091,9233.918
1849,Spain,Urban population (1000 inhab),32132.923,35289.121,36971.313,37120.403
1850,Spain,Population density (inhab/km2),82.9565127048,89.8927043552,93.0210301617,92.2003949004
1851,Spain,GDP per capita (current US$/inhab),16801.659305,32428.518588,28273.441934,28315.627921
1852,Spain,Human Development Index (HDI) [highest = 1] (-),0.83,0.853,0.873,0.891
1853,Spain,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1186,0.116,0.1043333333,0.0954
1854,Spain,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),857.2365399133,783.0447619053,778.5511609317,669.1901641394
1855,Spain,Total population with access to safe drinking-water (JMP) (%),99.9,100.0,100.0,100.0
1856,Spain,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1857,Spain,Urban population with access to safe drinking-water (JMP) (%),99.9,100.0,100.0,100.0
1859,Sri Lanka,Rural population (1000 inhab),15562.028,16190.874,16708.167,17038.849
1860,Sri Lanka,Urban population (1000 inhab),3497.272,3619.915,3716.388,3838.068
1861,Sri Lanka,Population density (inhab/km2),290.542325865,302.4240816949,312.9492455418,322.0245694254
1862,Sri Lanka,GDP per capita (current US$/inhab),1026.943884,1868.856716,3350.595979,4216.125203
1863,Sri Lanka,Human Development Index (HDI) [highest = 1] (-),0.699,0.734,0.762,0.776
1864,Sri Lanka,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.4302,0.3913333333,0.3698
1865,Sri Lanka,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),681.1683809065,652.4529428521,630.5095311846,612.7404577956
1866,Sri Lanka,Total population with access to safe drinking-water (JMP) (%),82.0,87.6,93.3,95.6
1867,Sri Lanka,Rural population with access to safe drinking-water (JMP) (%),78.9,85.6,92.3,95.0
1868,Sri Lanka,Urban population with access to safe drinking-water (JMP) (%),95.4,96.7,98.0,98.5
1892,Sweden,Rural population (1000 inhab),1415.408,1412.213,1371.997,1273.943
1893,Sweden,Urban population (1000 inhab),7505.286,7751.03,8168.91,8636.758
1894,Sweden,Population density (inhab/km2),19.810592938,20.348520986,21.3285324751,22.1373086293
1895,Sweden,GDP per capita (current US$/inhab),29743.858567,53253.52945,57743.66925,54541.574444
1896,Sweden,Human Development Index (HDI) [highest = 1] (-),0.903,0.905,0.908,0.935
1897,Sweden,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.0584,0.0518,0.0526666667,0.0547
1898,Sweden,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),299.9761229768,287.0258112599,268.6210312013,239.7804075883
1899,Sweden,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1900,Sweden,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1901,Sweden,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1903,Switzerland,Rural population (1000 inhab),1926.831,2001.241,2116.141,2224.037
1904,Switzerland,Urban population (1000 inhab),5317.083,5559.117,5915.529,6251.968
1905,Switzerland,Population density (inhab/km2),174.8698716396,182.5377088884,193.9455558247,204.7886687435
1906,Switzerland,GDP per capita (current US$/inhab),41609.461379,63479.360948,83176.178077,80220.632483
1907,Switzerland,Human Development Index (HDI) [highest = 1] (-),0.891,0.915,0.935,0.943
1908,Switzerland,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.0936,0.0772,0.0423333333,0.0278
1909,Switzerland,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),348.7352530207,300.0405201976,250.3492752009,205.0425955947
1910,Switzerland,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1911,Switzerland,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1912,Switzerland,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
1914,Syrian Arab Republic,Rural population (1000 inhab),8085.687,8930.863,9484.477,8495.489
1915,Syrian Arab Republic,Urban population (1000 inhab),9002.214,10701.943,10936.224,9774.379
1916,Syrian Arab Republic,Population density (inhab/km2),92.2595960687,107.3455772762,110.3729128416,92.3192461389
1917,Syrian Arab Republic,GDP per capita (current US$/inhab),1274.705738,2051.249403,2293.655875,721.520956
1918,Syrian Arab Republic,Human Development Index (HDI) [highest = 1] (-),0.6,0.649,0.631,0.544
1919,Syrian Arab Republic,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.555,0.5526666667,0.5329
1920,Syrian Arab Republic,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),957.5272092486,843.1525223493,820.0263263267,980.3881425469
1921,Syrian Arab Republic,Total population with access to safe drinking-water (JMP) (%),88.0,89.1,90.1,90.1
1922,Syrian Arab Republic,Rural population with access to safe drinking-water (JMP) (%),80.4,83.8,87.2,87.2
1923,Syrian Arab Republic,Urban population with access to safe drinking-water (JMP) (%),94.8,93.5,92.3,92.3
1925,Tajikistan,Rural population (1000 inhab),4738.751,5256.003,5872.805,6514.203
1926,Tajikistan,Urban population (1000 inhab),1708.937,1896.382,2122.257,2407.14
1927,Tajikistan,Population density (inhab/km2),45.0850017538,49.5452262364,55.2426166257,62.8113453105
1928,Tajikistan,GDP per capita (current US$/inhab),189.375435,520.02752,954.718846,802.326545
1929,Tajikistan,Human Development Index (HDI) [highest = 1] (-),0.559,0.602,0.639,0.651
